Título,Preço,Classificação,Categoria
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,One,History
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,Two,History
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,One,History
Zealot: The Life and Times of Jesus of Nazareth,£24.70,Three,History
A Distant Mirror: The Calamitous 14th Century,£14.58,Three,History
1491: New Revelations of the Americas Before Columbus,£21.80,Three,History
Brilliant Beacons: A History of the American Lighthouse,£11.45,Three,History
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48,Five,History
A Short History of Nearly Everything,£52.40,Five,History
The Rise and Fall of the Third Reich: A History of Nazi Germany,£39.67,Two,History
Catherine the Great: Portrait of a Woman,£58.55,Four,History
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91,Five,History
The Hiding Place,£55.91,Four,History
America's War for the Greater Middle East: A Military History,£51.22,Two,History
The Guns of August,£14.54,Two,History
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70,Two,History
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,Three,Food and Drink
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",£56.41,One,Food and Drink
My Paris Kitchen: Recipes and Stories,£33.37,Two,Food and Drink
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,Four,Food and Drink
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,One,Food and Drink
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,Five,Food and Drink
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,Two,Food and Drink
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,One,Food and Drink
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,Three,Food and Drink
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,Three,Food and Drink
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",£19.55,One,Food and Drink
Barefoot Contessa Back to Basics,£28.01,One,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,£50.62,Five,Food and Drink
My Kitchen Year: 136 Recipes That Saved My Life,£11.53,Two,Food and Drink
Everyday Italian: 125 Simple and Delicious Recipes,£20.10,Five,Food and Drink
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",£38.77,One,Food and Drink
Cravings: Recipes for What You Want to Eat,£20.50,Three,Food and Drink
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",£12.34,Four,Food and Drink
32 Yolks,£53.63,Two,Food and Drink
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",£11.38,Five,Food and Drink
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),£46.01,Four,Food and Drink
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,£28.25,Two,Food and Drink
The Barefoot Contessa Cookbook,£59.92,Five,Food and Drink
Better Homes and Gardens New Cook Book,£39.61,Three,Food and Drink
The Power Greens Cookbook: 140 Delicious Superfood Recipes,£11.05,Five,Food and Drink
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,£24.91,Five,Food and Drink
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,£13.66,Two,Food and Drink
The Smitten Kitchen Cookbook,£23.59,One,Food and Drink
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",£34.32,Three,Food and Drink
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,£33.14,Three,Food and Drink
Redeeming Love,£20.47,Five,Christian Fiction
Close to You,£49.46,Four,Christian Fiction
Shadows of the Past (Logan Point #1),£39.67,Five,Christian Fiction
Like Never Before (Walker Family #2),£28.77,Two,Christian Fiction
Counted With the Stars (Out from Egypt #1),£17.97,Five,Christian Fiction
If I Run (If I Run #1),£49.97,Four,Christian Fiction
The Dirty Little Secrets of Getting Your Dream Job,£33.34,Four,Business
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,Five,Business
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,Three,Business
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,Two,Business
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,Five,Business
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,One,Business
The Art of Startup Fundraising,£21.00,Three,Business
Born for This: How to Find the Work You Were Meant to Do,£21.59,Five,Business
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,One,Business
"Rich Dad, Poor Dad",£51.74,One,Business
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,Three,Business
Rework,£44.88,Two,Business
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,Two,Biography
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15,Two,Biography
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,£39.55,One,Biography
Benjamin Franklin: An American Life,£48.19,Three,Biography
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),£42.57,Three,Biography
In Her Wake,£12.84,One,Thriller
The Elephant Tree,£23.82,Five,Thriller
Behind Closed Doors,£52.22,Four,Thriller
You (You #1),£43.61,Five,Thriller
The Guilty (Will Robie #4),£13.82,Two,Thriller
The 14th Colony (Cotton Malone #11),£39.24,One,Thriller
Give It Back,£18.32,Two,Thriller
Killing Floor (Jack Reacher #1),£31.49,Four,Thriller
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71,Three,Thriller
Far From True (Promise Falls Trilogy #2),£34.93,Two,Thriller
The Travelers,£15.77,One,Thriller
When We Collided,£31.77,One,Contemporary
Someone Like You (The Harrisons #2),£52.79,Five,Contemporary
We Are All Completely Beside Ourselves,£24.04,One,Contemporary
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,Five,Spirituality
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,Five,Spirituality
Chasing Heaven: What Dying Taught Me About Living,£37.80,Two,Spirituality
If I Gave You God's Phone Number....: Searching for Spirituality in America,£20.91,One,Spirituality
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,£46.33,Two,Spirituality
A New Earth: Awakening to Your Life's Purpose,£55.65,Five,Spirituality
Logan Kade (Fallen Crest High #5.5),£13.12,Two,Academic
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,One,Self Help
How to Be Miserable: 40 Strategies You Already Use,£46.03,One,Self Help
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",£52.15,Three,Self Help
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,£12.08,Three,Self Help
How to Stop Worrying and Start Living,£46.49,Five,Self Help
All the Light We Cannot See,£29.87,Five,Historical
The Girl You Left Behind (The Girl You Left Behind #1),£15.79,One,Historical
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,Five,Christian
Crazy Love: Overwhelmed by a Relentless God,£47.72,Two,Christian
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,£25.77,One,Christian
Silence in the Dark (Logan Point #4),£58.33,Three,Suspense
The Grownup,£35.88,One,Short Stories
Suzie Snowflake: One beautiful flake (a self-esteem story),£54.81,Five,Novels
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,Three,Health
"Eat Fat, Get Thin",£54.07,Two,Health
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,£49.71,Five,Health
The Art and Science of Low Carbohydrate Living,£52.98,Five,Health
Libertarianism for Beginners,£51.33,Two,Politics
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,£52.65,Four,Politics
Equal Is Unfair: America's Misguided Fight Against Income Inequality,£56.86,One,Politics
Amid the Chaos,£36.58,One,Cultural
Dark Notes,£19.19,Five,Erotica
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,One,Crime
